date,isEdited,userName,review,rating,title,developerResponse
2021-02-05 18:55:51,False,CHONGX2,수험생인데 밤에 폰보는 시간 줄이려 쓰는데 좋아여,5,좋아용,
2019-07-01 03:15:00,False,blueskycwjjjj,"알림도오고 수면을 도와쥬는 음악에
시간대별로 화면도달라지고
건물도 아기자기하고
한가지 아쉬운건 건물 위치를 지정할 수 없다는거랑
땅 확대가 안된다는게 좀 아쉽네요 ㅎㅎ
처음엔 적응안되는데 이제는 습관처럼 해요
잘때 휴대폰을 안보니까 잠도 더 푹자는 것 같아요",5,오호,
2019-04-24 19:21:32,False,챠유티러,잠 잘때 핸드폰 해서 규칙적인 습관 만들려고 사봤어요,5,좋아요,
2019-06-17 03:21:57,False,동ㅁㅋ,수면을 규칙적이게 도움을 주길 바랍니다,5,정말 젛아요!,
2020-12-10 14:03:02,False,ujinwow,일찍 일어나게 되요. 감사합니다!,5,잠을 잘 자서,
2020-04-09 00:21:25,False,__dd,이유가 뭘까요,4,수면목표를 달성했는데 소셜 서클에는 기여가 안돼요,
2020-04-29 00:52:05,False,ij1928365,건물 모으는거 너무 재밌어요 ㅠ ㅠ,5,좋아요!,
2019-07-23 23:41:47,False,장기팔러가눈사람,을 알려주는 좋은 친구입니다,5,수면의 중요성,
2019-05-15 01:06:15,False,온미버노,집짓기위해 억지로라도 자게됩니다.,5,너무 괜찮습니다.,
2019-04-03 23:11:30,False,랄라라라34,꾸준히 하고있는데 건물 모으는 재미가 있네뇨,5,재밌어요,
2019-04-10 08:57:18,False,광고마스터,잘못 이해해서 포레스트 유저는 슬립타운 무료인 줄 알고 다운 받으뮤ㅠㅠㅠㅋㅋㅋㅋㅋㅋ 이왕 받은 거 오늘부터 잘 써볼게요,3,잘못 이해해서,
2019-06-20 17:11:48,False,헿하우라러헤헿,건물부서지는거 생각보다무섭,5,맘에들어여,
2019-07-10 23:18:55,False,나나나ㅏㄴ다,저기전이 의식적으로 폰을 덜보게 돼요,5,좋아욤,
2019-06-29 22:32:02,False,wonys5,맨날 늦게 자다가 이거때문에 겨우 일찍 잤네요,5,좋아요,
2019-08-07 17:43:14,False,chel_eee,ㅠㅠㅠㅠ제발 사용하게 해주세요ㅠㅠㅠㅠ어플도 샀는데ㅠㅠㅠㅠ 폰사용만 안하고 잠금하면 된다면서 잠금해두면 몇초후에 바로 공사취소알람이 떠요......공사하게해줘...,1,잠금하면 자꾸 공사취소됩니다,"{'id': 10188621, 'body': ""Hello, sorry for the inconvenience. This issue has been resolved in the latest version (v.3.2.3). Please update to the new version, and your buildings won't be cancelled again after your phone is locked. We'd really appreciate it if you update the review and rating when you've seen the improvement. Thank you! :) - SleepTown"", 'modified': '2019-08-15T19:18:29Z'}"
2019-02-23 05:55:57,False,mi1kyway1,"설정에 보니 난이도 조정이라고 있는데
이건 어떤기능인가요?",4,난이도 조정은 어떤기능인가요?,"{'id': 7445852, 'body': 'Hi,\nWould you please contact us via our in-app feedback system? We could help you to resolve your problem! :) SleepTown', 'modified': '2019-02-25T07:43:33Z'}"
2021-12-03 23:17:15,False,갑분광,"7일 연속으로 성공했는데, 왜 티켓이 안 들어와요?!",3,"7일 연속으로 기상 성공했는데, 티켓이 왜 안 들어와요??","{'id': 26724800, 'body': 'Hi there, so sorry for the inconvenience! Could you please reach out to us via the in-app feedback system so we can assist you further? Thank you.', 'modified': '2021-12-09T01:33:10Z'}"
2019-06-11 04:28:50,False,최정윤❤,마을 꾸미려고 잠드는 시간 꼭 맞추는거같아용 ♡♡,5,효과좋아용,
2019-05-05 07:10:52,False,유리리링링,덕분에 규칙적인 수면 습관 형성이 가능합니다,5,좋아요,
